[03:43:27] ============================================================
[03:43:27] Grid.gg 完整数据下载器 v2
[03:43:27] 使用二分法版本检测 + 动态查询构建
[03:43:27] 输出目录: /www/wwwroot/AI-Drafting-Assistant/data/grid_v2
[03:43:27] ============================================================
[03:43:27] 共 1632 场比赛，使用 10 个并行线程
[03:45:40] [310/1632] 2782485: OK v3.42 (3g)
[03:45:41] [311/1632] 2809514: OK v3.42 (3g)
[03:45:42] [312/1632] 2805673: OK v3.42 (4g)
[03:45:42] [313/1632] 2809513: OK v3.42 (4g)
[03:45:42] [314/1632] 2796211: OK v3.42 (3g)
[03:45:42] [315/1632] 2796151: OK v3.42 (3g)
[03:45:43] [316/1632] 2805672: OK v3.42 (5g)
[03:45:43] [317/1632] 2809511: OK v3.42 (5g)
[03:45:43] [318/1632] 2782483: OK v3.42 (3g)
[03:45:43] [319/1632] 2810218: OK v3.42 (1g)
[03:45:44] [320/1632] 2782482: OK v3.42 (2g)
[03:45:45] [321/1632] 2796212: OK v3.42 (3g)
[03:45:46] [322/1632] 2805671: OK v3.42 (5g)
[03:45:46] [323/1632] 2782481: OK v3.42 (2g)
[03:45:46] [324/1632] 2796152: OK v3.42 (4g)
[03:45:46] [325/1632] 2809510: OK v3.42 (3g)
[03:45:47] [326/1632] 2782479: OK v3.42 (3g)
[03:45:47] [327/1632] 2782478: OK v3.42 (2g)
[03:45:47] [328/1632] 2782480: OK v3.42 (3g)
[03:45:48] [329/1632] 2788276: OK v3.42 (2g)
[03:45:48] [330/1632] 2782477: OK v3.42 (2g)
[03:45:49] [331/1632] 2788275: OK v3.42 (2g)
[03:45:50] [332/1632] 2782476: OK v3.42 (2g)
[03:45:50] [333/1632] 2788274: OK v3.42 (3g)
[03:45:50] [334/1632] 2788273: OK v3.42 (2g)
[03:45:50] [335/1632] 2782475: OK v3.42 (2g)
[03:45:51] [336/1632] 2782474: OK v3.42 (3g)
[03:45:51] [337/1632] 2788271: OK v3.42 (2g)
[03:45:51] [338/1632] 2788272: OK v3.42 (2g)
[03:45:52] [339/1632] 2788270: OK v3.42 (2g)
[03:45:52] [340/1632] 2788269: OK v3.42 (2g)
[03:45:53] [341/1632] 2796187: OK v3.42 (2g)
[03:45:54] [342/1632] 2796185: OK v3.42 (2g)
[03:45:55] [343/1632] 2796150: OK v3.42 (2g)
[03:45:55] [344/1632] 2788268: OK v3.42 (2g)
[03:45:55] [345/1632] 2796148: OK v3.42 (3g)
[03:45:55] [346/1632] 2782473: OK v3.42 (2g)
[03:45:55] [347/1632] 2788267: OK v3.42 (3g)
[03:45:55] [348/1632] 2782472: OK v3.42 (2g)
[03:45:56] [349/1632] 2796186: OK v3.42 (3g)
[03:45:56] [350/1632] 2796184: OK v3.42 (2g)
[03:45:56] --- 350/1632 (141.1/min) ---
[03:45:57] [351/1632] 2796149: OK v3.42 (2g)
[03:45:59] [352/1632] 2788265: OK v3.42 (2g)
[03:45:59] [353/1632] 2788266: OK v3.42 (2g)
[03:45:59] [354/1632] 2796147: OK v3.42 (3g)
[03:45:59] [355/1632] 2782471: OK v3.42 (3g)
[03:45:59] [356/1632] 2782469: OK v3.42 (2g)
[03:45:59] [357/1632] 2782470: OK v3.42 (3g)
[03:45:59] [358/1632] 2788264: OK v3.42 (2g)
[03:46:00] [359/1632] 2788263: OK v3.42 (2g)
[03:46:01] [360/1632] 2782468: OK v3.42 (2g)
[03:46:01] [361/1632] 2788262: OK v3.42 (2g)
[03:46:03] [362/1632] 2788261: OK v3.42 (3g)
[03:46:03] [363/1632] 2782467: OK v3.42 (3g)
[03:46:03] [364/1632] 2788259: OK v3.42 (2g)
[03:46:03] [365/1632] 2788260: OK v3.42 (2g)
[03:46:03] [366/1632] 2782466: OK v3.42 (3g)
[03:46:03] [367/1632] 2782465: OK v3.42 (3g)
[03:46:03] [368/1632] 2782464: OK v3.42 (3g)
[03:46:04] [369/1632] 2805212: OK v3.42 (1g)
[03:46:05] [370/1632] 2788258: OK v3.42 (2g)
[03:46:05] [371/1632] 2788257: OK v3.42 (3g)
[03:46:07] [372/1632] 2781282: OK v3.42 (2g)
[03:46:07] [373/1632] 2781281: OK v3.42 (2g)
[03:46:07] [374/1632] 2796182: OK v3.42 (2g)
[03:46:07] [375/1632] 2788256: OK v3.42 (2g)
[03:46:07] [376/1632] 2788255: OK v3.42 (2g)
[03:46:07] [377/1632] 2796183: OK v3.42 (2g)
[03:46:08] [378/1632] 2796146: OK v3.42 (3g)
[03:46:09] [379/1632] 2781280: OK v3.42 (3g)
[03:46:09] [380/1632] 2781279: OK v3.42 (2g)
[03:46:10] [381/1632] 2796145: OK v3.42 (3g)
[03:46:12] [382/1632] 2788254: OK v3.42 (2g)
[03:46:12] [383/1632] 2788253: OK v3.42 (3g)
[03:46:12] [384/1632] 2796180: OK v3.42 (2g)
[03:46:12] [385/1632] 2782462: OK v3.42 (3g)
[03:46:12] [386/1632] 2782463: OK v3.42 (2g)
[03:46:12] [387/1632] 2796181: OK v3.42 (3g)
[03:46:12] [388/1632] 2788252: OK v3.42 (3g)
[03:46:13] [389/1632] 2781278: OK v3.42 (3g)
[03:46:13] [390/1632] 2796144: OK v3.42 (2g)
[03:46:14] [391/1632] 2781277: OK v3.42 (2g)
[03:46:16] [393/1632] 2782461: OK v3.42 (2g)
[03:46:16] [394/1632] 2788251: OK v3.42 (2g)
[03:46:16] [395/1632] 2782460: OK v3.42 (2g)
[03:46:16] [396/1632] 2788249: OK v3.42 (3g)
[03:46:16] [397/1632] 2788250: OK v3.42 (2g)
[03:46:16] [398/1632] 2796143: OK v3.42 (3g)
[03:46:17] [399/1632] 2782459: OK v3.42 (2g)
[03:46:18] [400/1632] 2788247: OK v3.42 (3g)
[03:46:18] --- 400/1632 (140.8/min) ---
[03:46:18] [401/1632] 2782458: OK v3.42 (2g)
[03:46:20] [402/1632] 2788245: OK v3.42 (2g)
[03:46:20] [403/1632] 2788246: OK v3.42 (3g)
[03:46:20] [404/1632] 2782456: OK v3.42 (2g)
[03:46:20] [405/1632] 2782457: OK v3.42 (2g)
[03:46:20] [406/1632] 2788244: OK v3.42 (2g)
[03:46:20] [407/1632] 2782455: OK v3.42 (2g)
[03:46:20] [408/1632] 2788243: OK v3.42 (2g)
[03:46:21] [409/1632] 2782454: OK v3.42 (3g)
[03:46:22] [410/1632] 2788242: OK v3.42 (3g)
[03:46:22] [411/1632] 2788241: OK v3.42 (3g)
[03:46:24] [412/1632] 2781275: OK v3.42 (2g)
[03:46:24] [413/1632] 2781276: OK v3.42 (2g)
[03:46:24] [414/1632] 2788240: OK v3.42 (2g)
[03:46:24] [415/1632] 2788239: OK v3.42 (2g)
[03:46:24] [416/1632] 2796178: OK v3.42 (3g)
[03:46:25] [417/1632] 2796179: OK v3.42 (2g)
[03:46:25] [418/1632] 2796142: OK v3.42 (3g)
[03:46:25] [419/1632] 2781274: OK v3.42 (2g)
[03:46:26] [420/1632] 2781273: OK v3.42 (2g)
[03:46:26] [421/1632] 2796141: OK v3.42 (3g)
[03:46:28] [422/1632] 2788238: OK v3.42 (2g)
[03:46:28] [423/1632] 2782453: OK v3.42 (3g)
[03:46:28] [424/1632] 2782452: OK v3.42 (2g)
[03:46:28] [425/1632] 2788237: OK v3.42 (3g)
[03:46:29] [426/1632] 2796140: OK v3.42 (2g)
[03:46:29] [427/1632] 2796177: OK v3.42 (2g)
[03:46:29] [428/1632] 2796176: OK v3.42 (3g)
[03:46:29] [429/1632] 2781272: OK v3.42 (2g)
[03:46:30] [430/1632] 2781271: OK v3.42 (2g)
[03:46:31] [431/1632] 2796139: OK v3.42 (2g)
[03:46:32] [432/1632] 2788236: OK v3.42 (3g)
[03:46:32] [433/1632] 2782451: OK v3.42 (2g)
[03:46:33] [434/1632] 2788235: OK v3.42 (3g)
[03:46:33] [435/1632] 2788234: OK v3.42 (2g)
[03:46:33] [436/1632] 2782450: OK v3.42 (2g)
