ally_has_adc_core,ally_has_single_core,ally_missing_cc,ally_missing_frontline,execution_difficulty,ally_tank_count,ally_assassin_count,ally_mage_count,ally_engage_count,ally_cc_count,ally_mobility_count,ally_physical_ratio,ally_magic_ratio,hero_dpm,hero_damage_pct,hero_forward_pct,hero_kda,hero_kp,hero_dpm_per_gold,hero_is_assassin,hero_is_tank,hero_is_mage,hero_has_engage,hero_has_mobility,hero_has_burst,avg_matchup_win_rate,worst_matchup_win_rate,stage_early,stage_mid,stage_late,counter_label
0,0,1,1,0.3,0,0,0,0,0,0,1.0,0.0,5556.84563504182,19.63738295065067,28.33777932342755,7.35,64.91978609625669,13.180281885960476,1,0,0,0,1,0,1.0,1.0,1,0,0,0
0,0,1,1,0.4,0,0,1,0,0,1,0.5,0.5,7381.206581352833,26.66896530541677,17.137797074954296,2.5,58.82352941176471,15.804591627033057,1,0,0,0,1,0,1.0,1.0,1,0,0,0
0,0,1,1,0.4,0,0,1,0,0,1,0.5,0.5,7802.057066554315,26.67221892941336,21.09034483363937,10.25,66.44385026737967,17.53570052747739,0,0,0,0,0,0,1.0,1.0,1,0,0,0
0,0,1,1,0.4,0,0,1,0,0,1,0.5,0.5,8298.318035117814,29.123317155906573,17.7544438676355,3.388888888888889,63.8235294117647,25.403586806283105,0,1,0,1,0,0,1.0,1.0,1,0,0,0
0,0,1,1,0.4,0,0,1,0,0,1,0.5,0.5,331.8291148903781,1.2266325012353505,31.573439490371765,4.229166666666666,75.2687478500172,1.385571455722966,0,0,0,1,0,0,1.0,1.0,1,0,0,0
0,0,1,1,0.4,0,0,1,0,0,1,0.5,0.5,5556.84563504182,19.63738295065067,28.33777932342755,7.35,64.91978609625669,13.180281885960476,1,0,0,0,1,0,1.0,1.0,1,0,0,0
0,0,1,1,0.4,0,0,1,0,0,1,0.5,0.5,7381.206581352833,26.66896530541677,17.137797074954296,2.5,58.82352941176471,15.804591627033057,1,0,0,0,1,0,1.0,1.0,0,1,0,0
0,0,1,1,0.4,0,0,1,0,0,1,0.5,0.5,7802.057066554315,26.67221892941336,21.09034483363937,10.25,66.44385026737967,17.53570052747739,0,0,0,0,0,0,1.0,1.0,0,1,0,0
0,0,1,1,0.4,0,0,1,0,0,1,0.5,0.5,8298.318035117814,29.123317155906573,17.7544438676355,3.388888888888889,63.8235294117647,25.403586806283105,0,1,0,1,0,0,1.0,1.0,0,1,0,0
0,0,1,1,0.4,0,0,1,0,0,1,0.5,0.5,331.8291148903781,1.2266325012353505,31.573439490371765,4.229166666666666,75.2687478500172,1.385571455722966,0,0,0,1,0,0,1.0,1.0,0,1,0,0
0,0,1,1,0.4,0,0,1,0,0,1,0.5,0.5,5556.84563504182,19.63738295065067,28.33777932342755,7.35,64.91978609625669,13.180281885960476,1,0,0,0,1,0,1.0,1.0,0,1,0,0
0,0,1,0,0.4,1,0,1,0,1,1,0.5,0.5,7381.206581352833,26.66896530541677,17.137797074954296,2.5,58.82352941176471,15.804591627033057,1,0,0,0,1,0,1.0,1.0,0,1,0,0
0,0,1,0,0.4,1,0,1,0,1,1,0.5,0.5,7802.057066554315,26.67221892941336,21.09034483363937,10.25,66.44385026737967,17.53570052747739,0,0,0,0,0,0,1.0,1.0,0,1,0,0
0,0,1,0,0.4,1,0,1,0,1,1,0.5,0.5,8298.318035117814,29.123317155906573,17.7544438676355,3.388888888888889,63.8235294117647,25.403586806283105,0,1,0,1,0,0,1.0,1.0,0,1,0,0
0,0,1,0,0.4,1,0,1,0,1,1,0.5,0.5,331.8291148903781,1.2266325012353505,31.573439490371765,4.229166666666666,75.2687478500172,1.385571455722966,0,0,0,1,0,0,1.0,1.0,0,1,0,0
0,0,1,0,0.4,1,0,1,0,1,1,0.5,0.5,5556.84563504182,19.63738295065067,28.33777932342755,7.35,64.91978609625669,13.180281885960476,1,0,0,0,1,0,1.0,1.0,0,1,0,0
0,0,1,1,0.5,0,0,0,0,0,0,0.5,0.5,6776.222905824061,23.337675466264717,38.23717187873066,3.916666666666667,60.22727272727273,17.45833405455256,0,0,0,0,0,0,0.5,0.5,1,0,0,1
0,0,1,1,0.5,0,0,0,0,0,0,0.5,0.5,6327.840369391377,22.15739765692383,33.3140493660677,6.2,70.20021645021644,14.828425701011758,0,0,1,0,1,0,0.5,0.5,1,0,0,1
